departureCity;arrivalCity;departDate;isDirectFlight;fare
Rio De Janeiro;New York;28.06.2022;1;326
Shangai;Kyiv;28.06.2022;0;357
Shangai;Adana;28.06.2022;0;745
Shangai;Ankara;28.06.2022;0;635
Shangai;New York;28.06.2022;0;524
Shangai;Rio De Janeiro;28.06.2022;0;326
Kyiv;Shangai;28.06.2022;0;357
Kyiv;Adana;28.06.2022;0;745
Kyiv;Ankara;28.06.2022;0;635
Kyiv;New York;28.06.2022;0;524
Kyiv;Rio De Janeiro;28.06.2022;0;326
Adana;Shangai;28.06.2022;0;357
Adana;Kyiv;28.06.2022;0;745
Adana;Ankara;28.06.2022;0;635
Adana;New York;28.06.2022;0;524
Adana;Rio De Janeiro;28.06.2022;0;326
Ankara;Shangai;28.06.2022;0;357
Ankara;Adana;28.06.2022;0;745
Ankara;New York;28.06.2022;0;635
Ankara;Rio De Janeiro;28.06.2022;0;524
Ankara;Kyiv;28.06.2022;0;326
New York;Kyiv;28.06.2022;0;357
New York;Adana;28.06.2022;0;745
New York;Ankara;28.06.2022;0;635
New York;Rio De Janeiro;28.06.2022;0;524
New York;Shangai;28.06.2022;0;326
Rio De Janeiro;Kyiv;28.06.2022;0;357
Rio De Janeiro;Adana;28.06.2022;0;745
Rio De Janeiro;Ankara;28.06.2022;0;635
Rio De Janeiro;Shangai;28.06.2022;0;524
Rio De Janeiro;New York;28.06.2022;0;326
Shangai;Kyiv;28.06.2022;0;357
Shangai;Adana;28.06.2022;0;745
Shangai;Ankara;28.06.2022;0;635
Shangai;New York;28.06.2022;0;524
Shangai;Rio De Janeiro;28.06.2022;0;326
Kyiv;Shangai;28.06.2022;0;357
Kyiv;Adana;28.06.2022;0;745
Kyiv;Ankara;28.06.2022;0;635
Kyiv;New York;28.06.2022;0;524
Kyiv;Rio De Janeiro;28.06.2022;0;326
Adana;Shangai;28.06.2022;0;357
Adana;Kyiv;28.06.2022;0;745
Adana;Ankara;28.06.2022;0;635
Adana;New York;28.06.2022;0;524
Adana;Rio De Janeiro;28.06.2022;0;326
Ankara;Shangai;28.06.2022;0;357
Ankara;Adana;28.06.2022;0;745
Ankara;New York;28.06.2022;0;635
Ankara;Rio De Janeiro;28.06.2022;0;524
Ankara;Kyiv;28.06.2022;0;326
New York;Kyiv;28.06.2022;0;357
New York;Adana;28.06.2022;0;745
New York;Ankara;28.06.2022;0;635
New York;Rio De Janeiro;28.06.2022;0;524
New York;Shangai;28.06.2022;0;326
Rio De Janeiro;Kyiv;28.06.2022;0;357
Rio De Janeiro;Adana;28.06.2022;0;745
Rio De Janeiro;Ankara;28.06.2022;0;635
Rio De Janeiro;Shangai;28.06.2022;0;524
Rio De Janeiro;New York;28.06.2022;0;326
Shangai;Kyiv;28.06.2022;1;357
Shangai;Adana;28.06.2022;1;745
Shangai;Ankara;28.06.2022;1;635
Shangai;New York;28.06.2022;1;524
Shangai;Rio De Janeiro;28.06.2022;1;326
Kyiv;Shangai;28.06.2022;1;357
Kyiv;Adana;28.06.2022;1;745
Kyiv;Ankara;28.06.2022;1;635
Kyiv;New York;28.06.2022;1;524
Kyiv;Rio De Janeiro;28.06.2022;1;326
Adana;Shangai;28.06.2022;1;357
Adana;Kyiv;28.06.2022;1;745
Adana;Ankara;28.06.2022;1;635
Adana;New York;28.06.2022;1;524
Adana;Rio De Janeiro;28.06.2022;1;326
Ankara;Shangai;28.06.2022;1;357
Ankara;Adana;28.06.2022;1;745
Ankara;New York;28.06.2022;1;635
Ankara;Rio De Janeiro;28.06.2022;1;524
Ankara;Kyiv;28.06.2022;1;326
New York;Kyiv;28.06.2022;1;357
New York;Adana;28.06.2022;1;745
New York;Ankara;28.06.2022;1;635
New York;Rio De Janeiro;28.06.2022;1;524
New York;Shangai;28.06.2022;1;326
Rio De Janeiro;Kyiv;28.06.2022;1;357
Rio De Janeiro;Adana;28.06.2022;1;745
Rio De Janeiro;Ankara;28.06.2022;1;635
Rio De Janeiro;Shangai;28.06.2022;1;524
Rio De Janeiro;New York;28.06.2022;1;326
Shangai;Kyiv;28.06.2022;1;357
Shangai;Adana;28.06.2022;1;745
Shangai;Ankara;28.06.2022;1;635
Shangai;New York;28.06.2022;1;524
Shangai;Rio De Janeiro;28.06.2022;1;326
Kyiv;Shangai;28.06.2022;1;357
Kyiv;Adana;28.06.2022;1;745
Kyiv;Ankara;28.06.2022;1;635
Kyiv;New York;28.06.2022;1;524
Kyiv;Rio De Janeiro;28.06.2022;1;326
Adana;Shangai;28.06.2022;1;357
Adana;Kyiv;28.06.2022;1;745
Adana;Ankara;28.06.2022;1;635
Adana;New York;28.06.2022;1;524
Adana;Rio De Janeiro;28.06.2022;1;326
Ankara;Shangai;28.06.2022;1;357
Ankara;Adana;28.06.2022;1;745
Ankara;New York;28.06.2022;1;635
Ankara;Rio De Janeiro;28.06.2022;1;524
Ankara;Kyiv;28.06.2022;1;326
New York;Kyiv;28.06.2022;1;357
New York;Adana;28.06.2022;1;745
New York;Ankara;28.06.2022;1;635
New York;Rio De Janeiro;28.06.2022;1;524
New York;Shangai;28.06.2022;1;326
Rio De Janeiro;Kyiv;28.06.2022;1;357
Rio De Janeiro;Adana;28.06.2022;1;745
Rio De Janeiro;Ankara;28.06.2022;1;635
Rio De Janeiro;Shangai;28.06.2022;1;524
Rio De Janeiro;New York;28.06.2022;1;326
Shangai;Kyiv;28.06.2022;0;357
Shangai;Adana;28.06.2022;0;745
Shangai;Ankara;28.06.2022;0;635
Shangai;New York;28.06.2022;0;524
Shangai;Rio De Janeiro;28.06.2022;0;326
Kyiv;Shangai;28.06.2022;0;357
Kyiv;Adana;28.06.2022;0;745
Kyiv;Ankara;28.06.2022;0;635
Kyiv;New York;28.06.2022;0;524
Kyiv;Rio De Janeiro;28.06.2022;0;326
Adana;Shangai;28.06.2022;0;357
Adana;Kyiv;28.06.2022;0;745
Adana;Ankara;28.06.2022;0;635
Adana;New York;28.06.2022;0;524
Adana;Rio De Janeiro;28.06.2022;0;326
Ankara;Shangai;28.06.2022;0;357
Ankara;Adana;28.06.2022;0;745
Ankara;New York;28.06.2022;0;635
Ankara;Rio De Janeiro;28.06.2022;0;524
Ankara;Kyiv;28.06.2022;0;326
New York;Kyiv;28.06.2022;0;357
New York;Adana;28.06.2022;0;745
New York;Ankara;28.06.2022;0;635
New York;Rio De Janeiro;28.06.2022;0;524
New York;Shangai;28.06.2022;0;326
Rio De Janeiro;Kyiv;28.06.2022;0;357
Rio De Janeiro;Adana;28.06.2022;0;745
Rio De Janeiro;Ankara;28.06.2022;0;635
Rio De Janeiro;Shangai;28.06.2022;0;524
Rio De Janeiro;New York;28.06.2022;0;326
Shangai;Kyiv;28.06.2022;0;357
Shangai;Adana;28.06.2022;0;745
Shangai;Ankara;28.06.2022;0;635
Shangai;New York;28.06.2022;0;524
Shangai;Rio De Janeiro;28.06.2022;0;326
Kyiv;Shangai;28.06.2022;0;357
Kyiv;Adana;28.06.2022;0;745
Kyiv;Ankara;28.06.2022;0;635
Kyiv;New York;28.06.2022;0;524
Kyiv;Rio De Janeiro;28.06.2022;0;326
Adana;Shangai;28.06.2022;0;357
Adana;Kyiv;28.06.2022;0;745
Adana;Ankara;28.06.2022;0;635
Adana;New York;28.06.2022;0;524
Adana;Rio De Janeiro;28.06.2022;0;326
Ankara;Shangai;28.06.2022;0;357
Ankara;Adana;28.06.2022;0;745
Ankara;New York;28.06.2022;0;635
Ankara;Rio De Janeiro;28.06.2022;0;524
Ankara;Kyiv;28.06.2022;0;326
New York;Kyiv;28.06.2022;0;357
New York;Adana;28.06.2022;0;745
New York;Ankara;28.06.2022;0;635
New York;Rio De Janeiro;28.06.2022;0;524
New York;Shangai;28.06.2022;0;326
Rio De Janeiro;Kyiv;28.06.2022;0;357
Rio De Janeiro;Adana;28.06.2022;0;745
Rio De Janeiro;Ankara;28.06.2022;0;635
Rio De Janeiro;Shangai;28.06.2022;0;524
Rio De Janeiro;New York;28.06.2022;0;326
